dol_vehicle_id,electric_utility
260099983,CITY OF SEATTLE - (WA)
260099983,CITY OF TACOMA - (WA)
477337332,CITY OF SEATTLE - (WA)
477337332,CITY OF TACOMA - (WA)
238913524,PUGET SOUND ENERGY INC
243931026,PUGET SOUND ENERGY INC
273466112,PUGET SOUND ENERGY INC
349915786,PUGET SOUND ENERGY INC
349915786,CITY OF TACOMA - (WA)
260345536,PUGET SOUND ENERGY INC
265311098,PUGET SOUND ENERGY INC
265311098,CITY OF TACOMA - (WA)
229950241,PACIFICORP
257854362,PUGET SOUND ENERGY INC
257854362,CITY OF TACOMA - (WA)
253471067,PUGET SOUND ENERGY INC
253471067,CITY OF TACOMA - (WA)
474359420,PUGET SOUND ENERGY INC
474359420,CITY OF TACOMA - (WA)
257804179,PUGET SOUND ENERGY INC
347973006,PUGET SOUND ENERGY INC
3392287,PUGET SOUND ENERGY INC
276279055,PACIFICORP
3645267,PUGET SOUND ENERGY INC
3645267,CITY OF TACOMA - (WA)
309584495,CITY OF SEATTLE - (WA)
309584495,CITY OF TACOMA - (WA)
265917396,PUGET SOUND ENERGY INC
265917396,CITY OF TACOMA - (WA)
142761706,PACIFICORP
276952749,PACIFICORP
101121457,CITY OF SEATTLE - (WA)
101121457,CITY OF TACOMA - (WA)
212376244,PUGET SOUND ENERGY INC
108528241,CITY OF SEATTLE - (WA)
108528241,CITY OF TACOMA - (WA)
151144164,PUGET SOUND ENERGY INC
114369013,PUGET SOUND ENERGY INC
242507079,PUGET SOUND ENERGY INC
179527806,CITY OF SEATTLE - (WA)
179527806,CITY OF TACOMA - (WA)
103057524,PUGET SOUND ENERGY INC
103057524,CITY OF TACOMA - (WA)
244943863,PUGET SOUND ENERGY INC
240672211,PUGET SOUND ENERGY INC
245818611,PUGET SOUND ENERGY INC
261400863,PUGET SOUND ENERGY INC
280781469,CITY OF SEATTLE - (WA)
280781469,CITY OF TACOMA - (WA)
3330659,PUGET SOUND ENERGY INC
102635361,CITY OF SEATTLE - (WA)
102635361,CITY OF TACOMA - (WA)
109773611,PUGET SOUND ENERGY INC
109773611,CITY OF TACOMA - (WA)
154010328,PUGET SOUND ENERGY INC
202502828,PUGET SOUND ENERGY INC
228581055,PUGET SOUND ENERGY INC
349586296,CITY OF SEATTLE - (WA)
349586296,CITY OF TACOMA - (WA)
187096745,PUGET SOUND ENERGY INC
187096745,CITY OF TACOMA - (WA)
105044250,PUGET SOUND ENERGY INC
105044250,CITY OF TACOMA - (WA)
107083476,PUGET SOUND ENERGY INC
107083476,CITY OF TACOMA - (WA)
477380648,PUGET SOUND ENERGY INC
477380648,CITY OF TACOMA - (WA)
262598759,PUGET SOUND ENERGY INC
268088978,PUGET SOUND ENERGY INC
269978894,PACIFICORP
213438872,PUGET SOUND ENERGY INC
260704230,PUGET SOUND ENERGY INC
269769713,PUGET SOUND ENERGY INC
1917464,PUGET SOUND ENERGY INC
258952396,PUGET SOUND ENERGY INC
270861202,PACIFICORP
262935627,PUGET SOUND ENERGY INC
333879717,PUGET SOUND ENERGY INC
333879717,CITY OF TACOMA - (WA)
205738207,PUGET SOUND ENERGY INC
136339017,CITY OF SEATTLE - (WA)
136339017,CITY OF TACOMA - (WA)
272606211,PUGET SOUND ENERGY INC
272606211,CITY OF TACOMA - (WA)
111932901,PUGET SOUND ENERGY INC
111932901,CITY OF TACOMA - (WA)
275844068,PACIFICORP
104898006,PUGET SOUND ENERGY INC
112538366,PUD NO 2 OF GRANT COUNTY
214793694,PUGET SOUND ENERGY INC
153952480,PUGET SOUND ENERGY INC
272111962,CITY OF CHENEY - (WA)
478181392,PUGET SOUND ENERGY INC
197106605,PUGET SOUND ENERGY INC
263340724,PUGET SOUND ENERGY INC
273301101,PUGET SOUND ENERGY INC
278878575,PUGET SOUND ENERGY INC
186582553,PUGET SOUND ENERGY INC
131702693,PACIFICORP
263134035,PUGET SOUND ENERGY INC
2644127,PUGET SOUND ENERGY INC
235280587,PUGET SOUND ENERGY INC
228888425,PUGET SOUND ENERGY INC
4889958,PUGET SOUND ENERGY INC
6293857,PUGET SOUND ENERGY INC
171037800,PACIFICORP
251454745,PUGET SOUND ENERGY INC
266013058,PUGET SOUND ENERGY INC
174443020,PUGET SOUND ENERGY INC
253782161,PUGET SOUND ENERGY INC
251291386,PACIFICORP
196473105,MODERN ELECTRIC WATER COMPANY
275811672,PUD NO 1 OF DOUGLAS COUNTY
236461767,PUGET SOUND ENERGY INC
277173144,PUGET SOUND ENERGY INC
251346196,PUGET SOUND ENERGY INC
251346196,CITY OF TACOMA - (WA)
304480648,PUGET SOUND ENERGY INC
260656819,PUGET SOUND ENERGY INC
304780108,PUGET SOUND ENERGY INC
305735384,PUGET SOUND ENERGY INC
127263538,PUGET SOUND ENERGY INC
127263538,CITY OF TACOMA - (WA)
316153820,PUGET SOUND ENERGY INC
269403781,PUGET SOUND ENERGY INC
269055447,PUGET SOUND ENERGY INC
266861213,PACIFICORP
329647881,PUGET SOUND ENERGY INC
267015703,PUGET SOUND ENERGY INC
273564133,PUGET SOUND ENERGY INC
265899336,PUGET SOUND ENERGY INC
127494958,PUGET SOUND ENERGY INC
